id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15771766,"Twin Bed En-suite Room+Breakfast
Close to Airport",93444732,Eileen,,Fingal,53.38722,-6.14284,Private room,90,2,74,2022-06-05,1.16,4,61,16,
15779845,Guestroom in Portobello along the Grand Canal,102061594,Patricia,,Dublin City,53.3299,-6.28108,Private room,59,2,81,2022-04-26,1.19,1,25,20,
15781024,"Charmingly located , modern bright Howth apt",100748797,Ann,,Fingal,53.38949,-6.0707,Entire home/apt,65,3,22,2018-11-06,0.37,1,0,0,
15784729,Cozy single room with spare bathroom,102100524,Eliot,,Dublin City,53.34029,-6.28079,Private room,94,2,1,2016-11-17,0.01,1,0,0,
15786005,Double room in clean cosy house with own b.room.,11293280,Noreen,,Fingal,53.57882,-6.12028,Private room,42,2,11,2019-08-30,0.17,1,179,0,
15795790,Private rooms in modern family home,45833627,Sarah,,Dublin City,53.37984,-6.19264,Private room,60,2,67,2022-05-30,1.00,5,47,19,
15796152,"Cosy room in Smithfield, Dublin City Centre.",41786807,Lou & Pawel,,Dublin City,53.35159,-6.28049,Entire home/apt,125,1,51,2018-04-01,0.87,1,0,0,
15797841,City Centre - Budget 2 Bedroom Apartment,102210522,Avalon,,Dublin City,53.33884,-6.26746,Entire home/apt,160,1,0,,,1,0,0,
15802087,Cozy flat in the heart of Dublin,24493208,Lauren,,Dublin City,53.33813,-6.25165,Entire home/apt,150,2,2,2016-11-20,0.03,1,0,0,
15804562,Master Bedroom Ensuite | Centrally Located,102271807,Hidde,,Dublin City,53.34566,-6.24456,Private room,45,2,40,2019-03-10,0.60,2,0,0,
15814444,Beautiful central house by canal in Dublin!,15221734,Lara,,Dublin City,53.33175,-6.26697,Entire home/apt,200,7,13,2022-03-13,0.20,1,0,2,
15818092,Large Bright Central Apt beside Ha'Penny Bridge,3765309,Sinead,,Dublin City,53.34796,-6.26197,Entire home/apt,109,2,27,2017-07-08,0.40,1,0,0,
15825533,Luxurious and cozy well located home,45531857,Vivienne,,Fingal,53.36798,-6.37441,Entire home/apt,160,2,50,2020-03-12,0.74,1,124,0,
15831512,single bedroom in our family home,100608762,Shumei(淑梅),,Dublin City,53.40118,-6.16766,Private room,28,1,59,2020-03-20,0.91,4,0,0,
15832531,Two storey house in beautiful Killiney suburb.,102516121,Billy,,Dn Laoghaire-Rathdown,53.25357,-6.12107,Entire home/apt,440,1,8,2021-08-13,0.12,3,120,1,
15833412,Boutique apartment,94913374,Mandy,,Dn Laoghaire-Rathdown,53.18173,-6.13006,Private room,50,2,9,2018-09-13,0.14,2,284,0,
15848846,Luxury 2BedApartment CityCentre/GrandCanal Dock 5*,32288730,Eoin,,Dublin City,53.34306,-6.24115,Entire home/apt,200,10,113,2022-05-30,1.86,1,62,22,
15854530,Smithfield Market Dublin 7,102734317,Michael,,Dublin City,53.34672,-6.27866,Entire home/apt,311,2,70,2022-05-25,1.03,8,69,21,
15856240,Entire apartment in the city center!!!,30498666,Heicmat,,Dublin City,53.3572,-6.2613,Entire home/apt,38,1,0,,,1,0,0,
15885600,Spare room in modern 2 storey house in Killiney,102516121,Billy,,Dn Laoghaire-Rathdown,53.25175,-6.12124,Private room,60,1,13,2022-04-01,0.22,3,121,2,
15892986,Bright  Large 2 Bd Apartment w/balcony,103079700,Micheal,,Dublin City,53.34357,-6.27865,Entire home/apt,351,4,155,2022-05-16,2.29,1,103,22,
15908888,Triple Room Amazing View on Historic Royal Canal,103206298,Nessa,,Dublin City,53.36788,-6.28301,Private room,61,3,3,2020-02-29,0.07,3,0,0,
15916900,Sunny double/treble ensuite bedroom 2 Mins M50,103267316,Mary,,South Dublin,53.30694,-6.31743,Private room,73,2,116,2019-11-13,1.75,2,1,0,
15924158,"Charming, safe apartment close to city centre",24464904,Sean,,Dublin City,53.33619,-6.30394,Entire home/apt,65,2,2,2017-02-05,0.03,1,0,0,
15935594,Private bedroom Ensuite ❤️ in great location,68193300,Melanie,,Dublin City,53.34843,-6.23008,Private room,60,4,0,,,2,0,0,
15938362,"4 BED HOUSE  - STONEYBATTER, DUBLIN 7",101422348,Laura,,Dublin City,53.35025,-6.28294,Entire home/apt,235,2,36,2022-05-03,0.54,3,6,1,
15940703,Double bedroom next to Phoenix park,42059994,Nastasia,,Dublin City,53.34413,-6.33068,Private room,35,1,3,2016-12-04,0.04,2,0,0,
15950739,En-suite room in city centre,36006677,Emily,,Dublin City,53.34878,-6.2429,Private room,80,6,0,,,1,0,0,
15969367,Luxury Home N. Co. Dublin Easy Access City/Airport,89922601,Mary,,Fingal,53.56976,-6.12053,Entire home/apt,182,2,19,2017-11-29,0.28,1,0,0,
15969811,Modern home with panoramic views,42608798,Sallie,,Dn Laoghaire-Rathdown,53.27358,-6.09856,Entire home/apt,475,5,0,,,2,152,0,
15978026,Room with a view in the city center,597529,Luca,,Dublin City,53.34661,-6.25429,Private room,79,1,74,2019-06-23,1.10,2,0,0,
15993889,.,198997923,Peter,,Dublin City,53.34275,-6.22742,Entire home/apt,999,3,82,2019-07-22,1.24,1,89,0,
16014305,Magnificently restored & award win  2bedroom,91692766,Damien,,Dublin City,53.30751,-6.26337,Entire home/apt,195,5,34,2022-06-03,0.51,5,42,28,
16014387,Shared Central Apartment,63215919,Justen,,Dublin City,53.35179,-6.27354,Shared room,54,1,44,2019-03-31,0.68,2,0,0,
16017066,Cozy apt. alongside Temple Bar/Trinity College,8601964,Michelle,,Dublin City,53.34644,-6.25253,Entire home/apt,150,3,26,2018-04-02,0.40,1,0,0,
16017372,City Centre Georgian Charm on Haddington Road,36932991,Steve,,Dublin City,53.33603,-6.23796,Private room,69,2,2,2017-01-02,0.03,1,0,0,
16023571,"Love Lane, Dublin 2",24373009,Nicolas,,Dublin City,53.33776,-6.2405,Private room,55,1,0,,,2,0,0,
16039058,🏠 Clean Space (3ROOMS) near Dublin City & Airport,104376837,Mike,,Fingal,53.41911,-6.38802,Private room,169,1,154,2022-05-25,3.13,5,294,22,
16050196,Lovely En-suite in quiet and comfortable house,94317877,Felipe,,South Dublin,53.34283,-6.40747,Private room,60,3,35,2022-06-01,1.57,1,13,25,
16064201,Light filled 2 bedroom apartment close to the city,16770284,Anthony,,Dublin City,53.31266,-6.24875,Entire home/apt,180,2,4,2017-05-21,0.06,1,0,0,
16064506,Great bedroom in cozy home (only for girls).,95335509,Joslaine,,Dublin City,53.337,-6.29718,Shared room,12,2,0,,,1,0,0,
16077398,Nelly's Room,104760529,Conor,,Fingal,53.37289,-6.36222,Private room,50,2,1,2017-03-18,0.02,1,0,0,
16081960,"1 Bedroom, Amazing city view, Available Dec 1 - 31",104805223,Mayank,,Dublin City,53.33526,-6.29161,Private room,30,14,0,,,1,0,0,
16109288,Double room with fire place in wooden indoor house,226173077,Justyna,,Dublin City,53.34462,-6.30884,Private room,35,4,8,2019-08-17,0.12,2,0,0,
16129670,Central Room by Millennium Bridge and Temple Bar,97080730,Stephanie,,Dublin City,53.346924,-6.265523,Private room,103,3,130,2022-06-04,2.67,2,264,44,
16146498,"Modern, Bright and Comfortable 4 bedroom home",64359280,Sarahjayne,,Dn Laoghaire-Rathdown,53.29149,-6.24337,Entire home/apt,250,7,1,2017-01-02,0.02,1,0,0,
16146759,"SHORT TERM, D1",105369599,Anna,,Dublin City,53.35604,-6.25844,Private room,29,1,0,,,1,0,0,
16156397,Sleep with a view in the heart of Dublin,597529,Luca,,Dublin City,53.34868,-6.25651,Entire home/apt,99,3,52,2020-06-15,0.79,2,0,0,
16157088,2 Bedroom Apartment - North Dublin,105455846,Paul,,Dublin City,53.38699,-6.22856,Entire home/apt,100,2,2,2017-04-03,0.03,1,0,0,
16159302,Warm room close to airport,104485620,Raimonda,,Dublin City,53.39072,-6.1607,Private room,25,1,55,2020-03-12,0.84,1,0,0,
16167506,2 Bed House & Loft  in Lusk Village,73801149,Paul,,Fingal,53.52645,-6.15895,Entire home/apt,89,7,2,2017-01-05,0.03,1,2,0,
16172934,1-Bed Apt with Balcony near Dublin's Main Venues,19529559,David,,Dublin City,53.34484,-6.22678,Entire home/apt,190,30,111,2020-03-13,1.69,1,31,0,
16185217,Private Double Room in Shared Space,105687317,Paul,,Dublin City,53.35247,-6.23429,Private room,41,1,1,2017-01-02,0.02,1,0,0,
16188511,Spacious Double room in the Heart of the City,69161103,Bruna,,Dublin City,53.31959,-6.2656,Private room,41,1,2,2017-01-06,0.03,1,0,0,
16200398,Cozy double bed room. Amazing location :),101589026,Maqui,,Dublin City,53.34464,-6.27698,Private room,70,3,28,2017-09-16,0.42,1,0,0,
16201617,Comfortable house near city center,105817811,Diogo,,Dublin City,53.35882,-6.27087,Shared room,16,1,5,2017-02-26,0.07,1,0,0,
16202907,"Comfortable room, 1 double and 1 sigle bed.",92505133,Cristián,,Dublin City,53.33524,-6.29163,Private room,35,1,2,2017-01-05,0.03,1,0,0,
16218195,Private Room in a House 20 Mins from City Centre,75756586,Mayela,,Dublin City,53.36101,-6.28316,Private room,38,1,8,2018-10-14,0.14,1,0,0,
